apps/admin-portal/main.py:10: unused import 'Form' (90% confidence, 1 line)
apps/admin-portal/main.py:14: unused import 'RedirectResponse' (90% confidence, 1 line)
apps/admin-portal/main.py:28: unused import 'TenantMiddleware' (90% confidence, 1 line)
apps/admin-portal/main.py:29: unused import 'RateLimiterMiddleware' (90% confidence, 1 line)
apps/api-gateway/core/fair_scheduler.py:8: unused import 'heapq' (90% confidence, 1 line)
apps/api-gateway/middleware/validation.py:11: unused import 'AgentRequest' (90% confidence, 1 line)
apps/api-gateway/middleware/validation.py:11: unused import 'AgentResponse' (90% confidence, 1 line)
apps/billing-service/core/budget_manager.py:13: unused import 'BudgetExceededError' (90% confidence, 1 line)
apps/capacity-monitor/main.py:16: unused import 'Environment' (90% confidence, 1 line)
apps/eval-service/core/episode_replay.py:16: unused import 'or_' (90% confidence, 1 line)
apps/eval-service/core/golden_tasks.py:16: unused import 'or_' (90% confidence, 1 line)
apps/eval-service/main.py:243: unused variable 'executor_config' (100% confidence, 1 line)
apps/ingestion/core/rag_metadata.py:16: unused import 'or_' (90% confidence, 1 line)
apps/orchestrator/core/orchestrator.py:10: unused import 'AgentStep' (90% confidence, 1 line)
apps/orchestrator/core/tools.py:132: unused variable 'search_data' (100% confidence, 1 line)
apps/orchestrator/core/tools.py:304: unused variable 'product_id' (100% confidence, 1 line)
apps/orchestrator/core/tools.py:304: unused variable 'qty' (100% confidence, 1 line)
apps/orchestrator/core/workflow.py:9: unused import 'AgentStep' (90% confidence, 1 line)
apps/orchestrator/core/yaml_workflow_engine.py:14: unused import 'AgentStep' (90% confidence, 1 line)
apps/orchestrator/main.py:15: unused import 'AgentStep' (90% confidence, 1 line)
apps/router-service/core/safe_mode_router.py:9: unused import 'RoutingReason' (90% confidence, 1 line)
apps/tenant-service/core/plan_upgrade.py:489: unused variable 'trial' (100% confidence, 1 line)
libs/clients/auth.py:9: unused import 'APIKey' (90% confidence, 1 line)
libs/clients/auth.py:9: unused import 'Tenant' (90% confidence, 1 line)
libs/clients/auth.py:9: unused import 'User' (90% confidence, 1 line)
libs/clients/database.py:10: unused import 'sessionmaker' (90% confidence, 1 line)
libs/contracts/validation.py:28: unused variable 'forbid_extra' (100% confidence, 1 line)
libs/events/dlq_handler.py:11: unused import 'EventBusConfig' (90% confidence, 1 line)
libs/events/event_consumer.py:8: unused import 'EventBusConfig' (90% confidence, 1 line)
libs/events/event_producer.py:8: unused import 'EventBusConfig' (90% confidence, 1 line)
libs/observability/otel_instrumentation.py:19: unused import 'TraceContextTextMapPropagator' (90% confidence, 1 line)
libs/performance/baseline_manager.py:16: unused import 'or_' (90% confidence, 1 line)
libs/performance/cost_ceiling_manager.py:15: unused import 'or_' (90% confidence, 1 line)
libs/performance/cost_ceiling_manager.py:17: unused import 'ROUND_HALF_UP' (90% confidence, 1 line)
libs/performance/locust_profiles.py:422: unused variable 'request_type' (100% confidence, 1 line)
libs/performance/locust_profiles.py:422: unused variable 'response_length' (100% confidence, 1 line)
libs/security/auth.py:16: unused import 'bcrypt' (90% confidence, 1 line)
libs/security/fairness_middleware.py:15: unused import 'heapq' (90% confidence, 1 line)
libs/security/row_level_security.py:14: unused import 'or_' (90% confidence, 1 line)
libs/security/row_level_security.py:332: unused variable 'required_access' (100% confidence, 1 line)
libs/security/validation.py:4: unused import 'html' (90% confidence, 1 line)
libs/utils/security/field_encryption.py:13: unused import 'default_backend' (90% confidence, 1 line)
apps/orchestrator/core/eval_integration.py:13: unused import 'TaskResult' (90% confidence, 6 lines)
apps/orchestrator/core/eval_integration.py:21: unused import 'EpisodeStatus' (90% confidence, 7 lines)
apps/orchestrator/core/resilient_tools.py:11: unused import 'resilient_adapter_manager' (90% confidence, 8 lines)
apps/billing-service/main.py:17: unused import 'BillingPlan' (90% confidence, 9 lines)
apps/billing-service/main.py:17: unused import 'UsageReport' (90% confidence, 9 lines)
apps/orchestrator/core/tools.py:6: unused import 'FAQEntry' (90% confidence, 10 lines)
apps/orchestrator/core/tools.py:6: unused import 'LeadInfo' (90% confidence, 10 lines)
apps/orchestrator/core/tools.py:6: unused import 'MessageInfo' (90% confidence, 10 lines)
apps/orchestrator/core/tools.py:6: unused import 'OrderInfo' (90% confidence, 10 lines)
